,address,zipcode,price,zestimate,baths,bdrm,lotsize_sqft,built,sqft,mortag_15,mortag_30,tax_ast,daysOnZillow,price_date,POIs,min_dist_per
0,10594 Highway 116,95436.0,379000.0,420213.0,1,1,16553,1924,1049,2.341,3.061,71431.0,22.0,2021-03-16,"(38.47997665, '-122.9587173')",5737.176648
1,877 Montgomery Rd,95472.0,1350000.0,1486238.0,3,3,148539,2013,1728,2.678,3.177,1219210.0,5.0,2021-03-15,"(38.40320206, '-122.8776474')",15690.6512
2,14314 Lovers Ln,95446.0,492000.0,545501.0,1,2,3598,1927,852,2.341,3.061,298719.0,2.0,2021-03-18,"(38.49713898, '-123.0120773')",4455.711751
3,8894 Oakmont Dr,95409.0,699000.0,713005.0,2,3,7840,1981,1870,2.47,3.113,702014.0,1.0,2021-03-19,"(38.430778499999995, '-122.5764389')",511.6578004
4,2461 Melbrook Way,95405.0,675000.0,688524.0,2,3,6751,1959,1655,2.47,3.113,377204.0,1.0,2021-03-19,"(38.43815994, '-122.6881561')",4602.809782
5,951 Stevenson St,95404.0,579950.0,595799.0,2,3,7649,1976,1200,2.47,3.113,337377.0,7.0,2021-03-13,"(38.4348526, '-122.7034836')",5918.606863
6,13 Ryan Ln,94931.0,515000.0,526960.0,3,3,1598,1989,1188,2.341,3.061,384262.0,3.0,2021-03-17,"(38.33256912, '-122.6926651')",13605.79581
7,1821 San Ramon Way,95409.0,699500.0,715666.0,2,4,15298,1969,2192,2.47,3.113,123703.0,2.0,2021-03-19,"(38.47319794, '-122.6370163')",222.9669833
8,1602 Monroe Ct,94954.0,569000.0,580400.0,3,3,1690,1986,1559,2.47,3.113,185508.0,3.0,2021-03-18,"(38.25708771, '-122.6272964')",20006.929809999998
9,2331 Jennings Ave,95401.0,679000.0,699372.0,3,4,8145,1990,1794,2.47,3.113,610193.0,1.0,2021-03-19,"(38.45029068, '-122.758522')",9473.025192000001
10,203 Clovercrest Dr,95425.0,849000.0,869930.0,2,3,82764,1955,1606,2.47,3.113,682000.0,2.0,2021-03-19,"(38.81610489, '-123.0260391')",12725.709690000002
11,94 Market St,95419.0,635000.0,,2,2,7840,1982,2000,2.47,3.113,3810.0,2.0,2021-03-19,"(38.42166901, '-122.9586334')",12207.93828
12,2128 Bock St,95403.0,699999.0,714024.0,3,3,5998,1993,1980,2.47,3.113,668029.0,1.0,2021-03-19,"(38.47200775, '-122.753746')",8651.77175
13,1951 Yellow Rose Ln,95407.0,549000.0,565472.0,2,3,3924,1999,1157,2.341,3.061,255862.0,3.0,2021-03-17,"(38.41043472, '-122.7376099')",9893.768836
14,210 Darbster Pl,95403.0,920000.0,931794.0,3,4,8772,2019,2437,2.678,3.177,885950.0,2.0,2021-03-19,"(38.49451828, '-122.745697')",7683.521079000001
15,2200 Warwick Dr,95405.0,715000.0,726114.0,2,4,8102,1968,2310,2.47,3.113,105331.0,2.0,2021-03-19,"(38.42368698, '-122.6707764')",4079.370879
16,1418 Rusch Ct,95401.0,577000.0,557058.0,3,3,3484,1988,1457,2.47,3.113,269479.0,1.0,2021-03-19,"(38.43238068, '-122.7337875')",8226.766658
17,1266 Seghesio Way,95492.0,729000.0,699799.0,3,3,6098,2005,1815,2.47,3.113,326528.0,1.0,2021-03-19,"(38.53671265, '-122.8126373')",7794.723687000001
18,20795 Bohemian Ave,95462.0,359000.0,396521.0,1,1,2178,1953,594,2.341,3.061,327726.0,168.0,2021-02-09,"(38.46736526, '-123.0056686')",7568.383392
19,5885 Melita Rd,95409.0,1549000.0,1551543.0,3,4,20007,1998,3220,2.678,3.177,1243432.0,1.0,2021-03-19,"(38.45584106, '-122.6353912')",203.7281507
20,57 Astoria Cir,94954.0,729000.0,756757.0,2,3,6499,1979,1649,2.47,3.113,461645.0,2.0,2021-03-19,"(38.25123596, '-122.6033249')",20191.4042
21,9049 Argonne Way,95436.0,400000.0,443496.0,2,3,4739,1912,1550,2.341,3.061,165245.0,3.0,2021-03-17,"(38.49580765, '-122.9011993')",5542.497965
22,1637 Annetta Dr,94954.0,789500.0,819561.0,2,3,5998,1964,1450,2.47,3.113,73649.0,1.0,2021-03-19,"(38.24953461, '-122.6126938')",20525.51955
23,24 Mourning Dove Ct,94952.0,1050000.0,1089979.0,2,3,33096,1978,1756,2.678,3.177,674726.0,3.0,2021-03-17,"(38.24622345, '-122.6608124')",21850.9852
24,343 Keller St,94952.0,1500000.0,1523316.0,2,4,6298,1892,2517,2.678,3.177,1201000.0,5.0,2021-03-15,"(38.23818207, '-122.6451263')",22444.17695
25,869 3rd St E,95476.0,1600000.0,1624870.0,2,4,9526,1979,2388,2.678,3.177,423463.0,1.0,2021-03-19,"(38.28482056, '-122.4536209')",17763.988530000002
26,3223 Cobblestone Dr,95404.0,1819950.0,1837282.0,3,4,29760,1988,2715,2.678,3.177,590063.0,1.0,2021-03-19,"(38.47370529, '-122.7071228')",4684.608558
27,37199 Schooner Dr,95497.0,985000.0,,3,2,24001,1992,1716,2.678,3.177,5910.0,1.0,2021-03-19,"(38.71694565, '-123.448349')",28988.879839999998
28,442 N Jefferson St,95425.0,399000.0,437826.0,1,2,5671,1963,704,2.341,3.061,107991.0,7.0,2021-03-14,"(38.80910873, '-123.0235596')",12034.61491
29,4078 Louis Krohn Dr,95407.0,599000.0,613985.0,3,4,3410,2001,2052,2.47,3.113,309974.0,1.0,2018-09-27,"(38.42579269, '-122.7640839')",10890.09391
30,1212 Lloyd Ave,95407.0,765000.0,780327.0,4,6,11761,1947,2887,2.47,3.113,367982.0,2.0,2021-03-18,"(38.41582489, '-122.7754669')",12290.38333
31,5020 Algiers Ave,95409.0,550000.0,615449.0,2,2,6098,1973,1114,2.341,3.061,425934.0,3.0,2021-03-17,"(38.46903992, '-122.6606674')",701.381019
32,608 Hudis St,94928.0,899000.0,910525.0,3,5,6882,1984,2845,2.678,3.177,868734.0,1.0,2021-03-19,"(38.36394882, '-122.7021484')",10893.70686
33,107 Syrah Ct,95425.0,699000.0,673265.0,2,4,8293,2004,1888,2.47,3.113,636000.0,3.0,2021-03-17,"(38.79944611, '-123.0205765')",11093.074040000001
34,1188 Felta Rd,95448.0,1385000.0,1440926.0,2,3,43263,1981,1588,2.678,3.177,814168.0,1.0,2021-03-19,"(38.57717133, '-122.8834457')",1624.658024
35,15975 Coleman Valley Rd,95465.0,749000.0,941545.0,2,3,104544,1972,1564,2.47,3.113,448353.0,8.0,2021-03-12,"(38.41160583, '-122.9669952')",13312.2326
36,213 Deanna Pl,95492.0,749000.0,814634.0,2,3,8276,1989,1974,2.47,3.113,334327.0,6.0,2021-03-14,"(38.53288651, '-122.7876663')",9983.797321
37,2181 Lansbury St,95404.0,600000.0,612021.0,3,4,7457,1994,1652,2.47,3.113,384323.0,5.0,2021-03-15,"(38.41700745, '-122.707756')",7225.572045
38,9532 Clint Ct,95421.0,599000.0,608280.0,3,3,98881,1976,2289,2.47,3.113,530400.0,145.0,2021-03-05,"(38.54761887, '-123.2443924')",13825.01185
39,2275 Rowe Dr,95403.0,599000.0,613767.0,1,3,6080,1950,1207,2.47,3.113,256518.0,5.0,2021-03-15,"(38.46233368, '-122.719368')",5863.530007
